indexl,profit,scenario,Type,Name,Latitude,Longitude
238,3585911.070246046,242,U-Bahn,Odeonsplatz,48.146111111111,11.579166666667
275,3522265.488278665,242,U-Bahn,Großhadern,48.114722222222,11.477222222222
266,3485760.080904849,242,U-Bahn,Therese-Giehse-Allee,48.094444444444,11.642777777778
263,3564793.717556334,242,U-Bahn,Ostbahnhof,48.139166666667,11.606944444444
193,3545021.282405271,241,U-Bahn,Rotkreuzplatz,48.152777777778,11.534166666667
264,3402176.8311829716,241,U-Bahn,Pasing,48.15,11.461666666667
245,3462796.4881615844,240,U-Bahn,Böhmerwaldplatz,48.1432,11.6151
200,3325567.1414887863,240,U-Bahn,Am Moosfeld,48.130555555556,11.670833333333
215,3299941.0995289343,240,U-Bahn,Messestadt West,48.133333333333,11.691388888889
186,3497835.3048448185,239,U-Bahn,Gern,48.162777777778,11.529166666667
270,3243522.097531222,239,U-Bahn,Freimann,48.191944444444,11.614444444444
261,3047758.081677889,230,U-Bahn,Neuperlach Süd,48.088888888889,11.645277777778
220,3352570.4499695697,226,U-Bahn,Trudering,48.128888888889,11.662777777778
246,3035568.1491654404,221,U-Bahn,Cosimapark,48.153611111111,11.629444444444
225,3000018.9861896383,218,U-Bahn,Brudermühlstraße,48.111944444444,11.548888888889
196,3048754.145822774,213,U-Bahn,Stiglmaierplatz,48.1475,11.559166666667
257,2998092.031774288,212,U-Bahn,Am Knie,48.145277777778,11.471388888889
274,2902221.569926616,212,U-Bahn,Garching-Hochbrück,48.2475,11.625555555556
259,3092470.9408181277,212,U-Bahn,Laimer Platz,48.135277777778,11.503888888889
233,3325424.9817413054,206,U-Bahn,Moosach,48.180277777778,11.507222222222
214,2684497.7265076092,201,U-Bahn,Messestadt Ost,48.133333333333,11.703888888889
247,2975444.701868062,197,U-Bahn,Heimeranplatz,48.133333333333,11.533611111111
265,2887272.4793647127,196,U-Bahn,Quiddestraße,48.108611111111,11.646388888889
256,2825940.493605286,191,U-Bahn,Westendstraße,48.134722222222,11.520833333333
276,2978001.4148656987,188,U-Bahn,Haderner Stern,48.118611111111,11.488888888889
262,2577963.129359153,186,U-Bahn,Neuperlach Zentrum,48.101111111111,11.646388888889
251,2651312.688016506,185,U-Bahn,Odeonsplatz,48.142222222222,11.576944444444
190,2623590.05347249,182,U-Bahn,Maillingerstraße,48.15,11.545833333333
284,2692993.758082855,182,U-Bahn,Studentenstadt,48.183611111111,11.607777777778
213,2583309.316392299,181,U-Bahn,Kreillerstraße,48.125833333333,11.646944444444
278,2678689.9439072856,179,U-Bahn,Holzapfelkreuth,48.116388888889,11.501944444444
242,2668142.180782314,176,U-Bahn,Thalkirchen (Tierpark),48.101944444444,11.546388888889
191,2710636.485215883,174,U-Bahn,Mangfallplatz,48.098611111111,11.581666666667
234,2570200.9885509936,171,U-Bahn,Moosacher St.-Martins-Platz,48.181944444444,11.518611111111
189,2550055.1649907,171,U-Bahn,Laurinplatz,48.091666666667,11.566666666667
243,2536947.8794340487,170,U-Bahn,Universität,48.150555555556,11.581111111111
260,2406131.9091920177,169,U-Bahn,Michaelibad,48.118611111111,11.631666666667
258,2454604.7015410243,167,U-Bahn,Friedenheimer Str.,48.135,11.511111111111
210,2510252.803207804,166,U-Bahn,Josephsplatz,48.155277777778,11.567222222222
279,2437866.518533082,165,U-Bahn,Kieferngarten,48.203888888889,11.613333333333
202,2392644.120671184,165,U-Bahn,Feldmoching,48.213611111111,11.541944444444
207,2491285.2959513743,163,U-Bahn,Hohenzollernplatz,48.161388888889,11.568611111111
221,2454534.2220645174,162,U-Bahn,Untersbergstraße,48.1125,11.587777777778
188,2436258.4418031434,162,U-Bahn,Kolumbusplatz,48.119722222222,11.576388888889
206,2297233.891568976,162,U-Bahn,Hasenbergl,48.213055555556,11.555833333333
192,2339439.2411347623,162,U-Bahn,Olympia-Einkaufszentrum,48.183333333333,11.530555555556
240,2354921.011908672,162,U-Bahn,Petuelring,48.175833333333,11.565833333333
218,2358628.9236127455,162,U-Bahn,Silberhornstraße,48.131666666667,11.580277777778
195,2358936.7843190623,162,U-Bahn,St.-Quirin-Platz,48.104722222222,11.581666666667
252,2219759.4807450566,162,U-Bahn,Prinzregentenplatz,48.139166666667,11.606944444444
267,2168238.0812609512,162,U-Bahn,Willibaldstraße,48.136666666667,11.485833333333
208,2371392.357260781,162,U-Bahn,Innsbrucker Ring,48.120555555556,11.618888888889
241,2165273.965030083,162,U-Bahn,Poccistraße,48.130277777778,11.550555555556
230,2384345.624809487,162,U-Bahn,Implerstraße,48.119444444444,11.548333333333
223,2384517.386586993,162,U-Bahn,Basler Straße,48.091111111111,11.491666666667
227,2392428.3691528984,162,U-Bahn,Fürstenried West,48.088333333333,11.480833333333
253,2410184.3049457003,162,U-Bahn,Richard-Strauss-Straße,48.148888888889,11.616388888889
249,2310037.924694678,162,U-Bahn,Lehel,48.14,11.5868
212,2412726.8386564865,162,U-Bahn,Königsplatz,48.145833333333,11.563611111111
183,2412909.3786191833,162,U-Bahn,Candidplatz,48.112222222222,11.571388888889
204,2421722.492784561,162,U-Bahn,Giesing Bahnhof,48.110833333333,11.595555555556
224,2429497.4880995266,162,U-Bahn,Bonner Platz,48.166666666667,11.578888888889
277,2432402.2477963716,162,U-Bahn,Harras,48.116666666667,11.536666666667
232,2434542.9017387056,162,U-Bahn,Marienplatz,48.1375,11.575277777778
236,2398528.84296589,161,U-Bahn,Obersendling,48.098333333333,11.536388888889
222,2455209.0498677166,161,U-Bahn,Aidenbachstraße,48.097777777778,11.525277777778
197,2242125.8280847636,161,U-Bahn,Westfriedhof,48.170555555556,11.528333333333
250,2274376.661931803,161,U-Bahn,Max-Weber-Platz,48.135555555556,11.598611111111
185,2299242.234883603,161,U-Bahn,Georg-Brauchle-Ring,48.175,11.529166666667
199,2223495.4703681446,160,U-Bahn,Am Hart,48.196944444444,11.571944444444
282,2411990.8556892592,160,U-Bahn,Nordfriedhof,48.173055555556,11.596944444444
255,2376436.172901227,160,U-Bahn,Theresienwiese,48.1366,11.5532
211,2339416.958331392,160,U-Bahn,Karl-Preis-Platz,48.118333333333,11.609166666667
209,2340101.8071406437,160,U-Bahn,Josephsburg,48.126944444444,11.634722222222
269,2360191.65981396,160,U-Bahn,Dietlindenstraße,48.166666666667,11.590555555556
205,2364070.2303135586,160,U-Bahn,Harthof,48.204722222222,11.568333333333
187,2242062.673140551,159,U-Bahn,Hauptbahnhof,48.140277777778,11.561111111111
244,2320365.879033127,159,U-Bahn,Arabellapark,48.153611111111,11.621388888889
226,2367262.932179676,158,U-Bahn,Forstenrieder Allee,48.095,11.499166666667
268,2367246.745411957,157,U-Bahn,Alte Heide,48.178611111111,11.602777777778
237,2166073.961056893,157,U-Bahn,Oberwiesenfeld,48.186111111111,11.544166666667
198,2308995.0517467656,156,U-Bahn,Wettersteinplatz,48.108611111111,11.575
228,2212626.7252164134,156,U-Bahn,Giselastraße,48.156944444444,11.584444444444
217,2214890.844974082,153,U-Bahn,Scheidplatz,48.171388888889,11.573333333333
254,2160544.514820675,153,U-Bahn,Schwanthalerhöhe,48.133888888889,11.541111111111
283,2047694.0372394715,152,U-Bahn,Partnachplatz,48.116944444444,11.526666666667
201,2186482.5817960766,151,U-Bahn,Dülferstraße,48.212777777778,11.5625
231,2238266.1069602408,151,U-Bahn,Machtlfingerstraße,48.097222222222,11.514722222222
184,2011744.3176760743,150,U-Bahn,Fraunhoferstraße,48.129166666667,11.574444444444
216,2085242.6912275457,148,U-Bahn,Milbertshofen,48.180833333333,11.573055555556
235,1964270.7134846682,142,U-Bahn,Münchner Freiheit,48.161111111111,11.586111111111
248,1763606.4176490002,139,U-Bahn,Karlsplatz (Stachus),48.139444444444,11.565833333333
219,2033679.5249256152,136,U-Bahn,Theresienstraße,48.1366,11.5532
239,2007565.954324846,135,U-Bahn,Olympiazentrum,48.180277777778,11.555555555556
203,1896990.9966448643,134,U-Bahn,Frankfurter Ring,48.187222222222,11.572777777778
194,1838494.303245054,128,U-Bahn,Sendlinger Tor,48.133333333333,11.566666666667
229,1820988.0978456163,125,U-Bahn,Goetheplatz,48.129722222222,11.558888888889
281,1776656.349895061,123,U-Bahn,Martinsried,48.109166666667,11.451666666667
280,742218.216469366,97,U-Bahn,Klinikum Großhadern,48.108888888889,11.473888888889
